name_zh,name
爱知县,Aichi
秋田县,Akita
青森县,Aomori
千叶县,Chiba
愛媛县,Ehime
福井县,Fukui
福冈县,Fukuoka
福岛县,Fukushima
岐阜县,Gifu
群马县,Gunma
广岛县,Hiroshima
北海道,Hokkaido
兵庫县,Hyogo
茨城县,Ibaraki
石川县,Ishikawa
岩手县,Iwate
香川县,Kagawa
鹿儿岛县,Kagoshima
神奈川县,Kanagawa
高知县,Kochi
熊本县,Kumamoto
京都府,Kyoto
三重县,Mie
宫城县,Miyagi
宫崎县,Miyazaki
长野县,Nagano
长崎县,Nagasaki
奈良县,Nara
新潟县,Niigata
大分县,Oita
冈山县,Okayama
冲绳县,Okinawa
大阪府,Osaka
佐贺县,Saga
埼玉县,Saitama
滋贺县,Shiga
岛根县,Shimane
静冈县,Shizuoka
栃木县,Tochigi
德岛县,Tokushima
东京都,Tokyo
鸟取县,Tottori
富山县,Toyama
和歌山县,Wakayama
山形县,Yamagata
山口县,Yamaguchi
山梨县,Yamanashi
